Block Structure Code,Total Block Rateable Value,Block Name,BD Code (Only issued if block contains Homeowners)
STR006993,653,SAMUEL JOHNSON CLOSE (24-26),BD001616
STR006994,653,SAMUEL JOHNSON CLOSE (27-29),BD001616
STR006995,438,SAMUEL JOHNSON CLOSE,
STR006996,223,SHERWOOD AVENUE ,
STR006998,223,SHERWOOD AVENUE ,
STR006999,223,SHERWOOD AVENUE ,
STR007001,245,SHERWOOD AVENUE ,
STR007003,223,SHERWOOD AVENUE ,
STR007005,,SOUTHCROFT ROAD ,
STR007006,314,SOUTH OAK ROAD ,
STR007009,290,SOUTH OAK ROAD ,
STR007010,254,SOUTH OAK ROAD ,
STR007011,290,SOUTH OAK ROAD ,BD001617
STR007012,254,SOUTH OAK ROAD ,
STR007013,254,SOUTH OAK ROAD ,
STR007014,254,SOUTH OAK ROAD ,BD001618
STR007015,254,SOUTH OAK ROAD ,
STR007016,314,SOUTH OAK ROAD ,
STR007017,290,SOUTH OAK ROAD ,
STR007019,314,SOUTH OAK ROAD ,
STR007020,290,SOUTH OAK ROAD ,
STR007021,254,SOUTH OAK ROAD ,
STR007022,254,SOUTH OAK ROAD ,
STR007023,266,SOUTH OAK ROAD ,
STR007024,330,SOUTH OAK ROAD ,
STR007025,314,SOUTH OAK ROAD ,
STR007026,390,FARM ROAD ,
STR007027,446,MAULEVERER ROAD ,
STR007031,136,STRATHLEVEN ROAD ,
STR007032,136,STRATHLEVEN ROAD ,
STR007033,102,STRATHLEVEN ROAD ,
STR007034,223,STRATHLEVEN ROAD ,
STR007035,560,STREATHAM COMMON NORTH,BD003333
STR007041,755,TOOTING BEC GARDENS ,
STR007042,440,TANKERVILLE ROAD ,BD001835
STR007043,2198,MADEIRA ROAD (26-32),BD001353
STR007044,418,BARCOMBE AVENUE ,
STR007046,574,BALDRY GARDENS,BD001762
STR007047,367,NORTHSTEAD ROAD ,
STR007048,606,ARRAGON GARDENS 1 2&3 12,BD001779
STR007050,640,ABBOTSWOOD ROAD ,BD001797
STR007052,602,STREATHAM HILL 40 A-C,BD002183
STR007053,10802,STREATHAM HILL (73-109),BD001869
STR007054,504,HEYBRIDGE AVENUE ,BD003280
STR007055,482,HEYBRIDGE AVENUE ,
STR007057,544,HOADLEY ROAD ,BD001793
STR007061,473,LEIGHAM VALE ,
STR007062,951,LEIGHAM AVENUE ,
STR007064,434,KEMPSHOTT ROAD ,BD001769
STR007065,409,KINGSCOURT ROAD ,
STR007066,376,KINGSCOURT ROAD ,BD003421
STR007067,376,KINGSCOURT ROAD ,BD001786
STR007068,413,KINGSCOURT ROAD ,BD001787
STR007069,396,KINGSCOURT ROAD ,BD001826
STR007071,464,GLENELDON ROAD,BD001766
STR007072,464,GLENELDON ROAD,BD001801
STR007073,456,GLENELDON ROAD,BD001785
STR007074,4659,AMESBURY AVENUE (15-87),BD001882
STR007075,2499,AMESBURY AVENUE (101-143),BD001898
STR007076,746,"AMESBURY AVENUE (166,176)",BD001908
STR007077,1210,AMESBURY AVENUE (210-252),
STR007078,384,AMESBURY AVENUE 195-197 ODD,BD001911
STR007079,1644,BARCOMBE AVENUE 19-29,BD002081
STR007080,555,GLENEAGLE ROAD ,BD001783
STR007081,1083,GARRADS ROAD 1 FLATS 1-4,BD001722
STR007082,843,GARRADS ROADS ,
STR007083,1096,GARRADS ROADS ,
STR007084,2192,GARRADS ROADS ,
STR007086,2243,STREATHAM HIGH ROAD 357-361 ODD,BD001321
STR007087,2243,STREATHAM HIGH ROAD 363-367,BD001322
STR007088,1644,BARCOMBE AVENUE 20-30,BD002082
STR007090,326,WINTERWELL ROAD ,
STR007091,756,BARCOMBE AVENUE ,BD001919
STR007093,409,BARCOMBE AVENUE ,BD001920
STR007095,1191,CRICKLADE AVENUE (35-39),BD001972
STR007096,868,CRICKLADE AVENUE 104 A-D,BD001974
STR007097,868,CRICKLADE AVENUE,
STR007098,868,CRICKLADE AVENUE 116 A-D,BD001979
STR007099,400,BARCOMBE AVENUE ,BD001921
STR007100,409,BRANCASTER ROAD ,BD001760
STR007101,430,BUCKLEIGH ROAD ,BD001718
STR007102,784,BARROW ROAD ,BD003540
STR007104,413,BARROW ROAD ,BD001754
STR007105,259,BARROW ROAD ,BD003269
STR007106,409,COPLEY PARK ,BD003543
STR007107,388,CRICKLADE AVENUE ,
STR007108,468,CRICKLADE AVENUE ,
STR007109,805,DOWNTON AVENUE ,
STR007110,604,BLENHEIM GARDENS (72-73),
STR007111,434,DOWNTON AVENUE 104 1-3,BD001982
STR007112,266,DREWSTEAD AVENUE,
STR007113,522,DREWSTEAD ROAD ,BD003544
STR007117,604,BLENHEIM GARDENS 87-88,BD002337
STR007119,409,CONYERS ROAD ,
STR007120,477,CONYERS ROAD ,BD001771
STR007121,194,CONYERS ROAD ,BD001772
STR007122,435,FAIRMILE ROAD ,
STR007123,599,FAIRMOUNT ROAD ,BD001773
STR007124,2262,GARRADS ROAD ,
STR007125,274,GARRADS ROAD ,
STR007126,994,GARRADS ROAD ,
STR007127,986,GARRADS ROAD ,
STR007128,1438,GLENEAGLE ROAD ,BD003547
STR007129,198,GLENEAGLE ROAD ,
STR007130,266,BRANKSOME ROAD ,
STR007131,425,GLENELDON ROAD ,BD001719
STR007132,342,BRANKSOME ROAD ,
STR007133,477,GLENELDON ROAD ,
STR007134,338,BRANKSOME ROAD,BD003435
STR007136,359,GLENEAGLE ROAD ,BD001784
STR007137,413,MOORCROFT ROAD ,BD001795
STR007138,422,NORFOLK HOUSE ROAD,BD001759
STR007139,610,NORTHSTEAD ROAD ,BD003406
STR007140,621,OAKDALE ROAD,BD001789
STR007141,456,NORFOLK HOUSE ROAD ,
STR007142,468,NORFOLK HOUSE ROAD ,BD001799
STR007143,484,NORFOLK HOUSE ROAD ,
STR007144,443,NORTHANGER ROAD,BD003233
STR007150,2351,STREATHAM HILL ,BD002076
STR007152,540,GREYHOUND LANE 30 FLATS 1 2 & 3,BD001755
STR007154,426,GREYHOUND LANE ,BD001775
STR007155,608,GREYHOUND LANE ,BD001776
STR007156,434,GREYHOUND LANE ,BD001777
STR007157,464,GREYHOUND LANE ,BD001778
STR007158,413,GREYHOUND LANE ,BD003442
STR007159,507,LEWIN ROAD ,BD003247
STR007160,726,"MADEIRA ROAD 5, FLATS 1-3",BD001792
STR007162,493,MADEIRA ROAD ,BD001791
STR007165,493,LEWIN ROAD ,BD001767
STR007166,1530,HOPTON ROAD 71 FLATS 1-5,BD001344
STR007168,1498,HOPTON ROAD ,BD001343
STR007169,556,HOPTON ROAD ,
STR007170,1692,STREATHAM HILL 53 FLATS 1-6,BD002075
STR007171,476,TANKERVILLE ROAD ,
STR007172,519, TANKERVILLE,BD001809
STR007173,533,WAVERTREE ROAD ,BD001806
STR007174,493,WAVERTREE ROAD ,BD001757
STR007175,532,WAVERTREE ROAD ,BD001800
STR007176,447,WAVERTREE ROAD ,BD001770
STR007177,443,WESTWELL ROAD ,BD003620
STR007178,368,WESTWELL ROAD ,BD001721
STR007179,374,WESTWELL ROAD ,BD003437
STR007180,514,WESTWELL ROAD ,BD001804
STR007181,1692,STREATHAM HILL ,BD002076
STR007182,330,WINTERWELL ROAD ,
STR007183,338,SOUTH OAK ROAD ,
STR007184,6565,STREATHAM HIGH ROAD 582 FLATS 1-26,BD001323
STR007185,274,MOUNT EPHRIAM ROAD ,
STR007186,227,BABINGTON ROAD ,
STR007187,227,ELLISON ROAD ,BD001742
STR007205,278,SUDBOURNE ROAD ,
STR007206,306,SUDBOURNE ROAD ,
STR007209,892,GLANVILLE ROAD 40 - 41 & 52 -53,BD002296
STR007210,892,GLANVILLE ROAD 54 - 55 & 66 - 67,BD002300
STR007212,892,"GLANVILLE ROAD 82,83 & 94,95",BD002305
STR007213,892,GLANVILLE ROAD 96 - 97 & 108 -109,BD002306
STR007214,732,"GLANVILLE ROAD 110, 122 & 123",BD002311
STR007222,532,SAXBY ROAD (55-57),
STR007224,215,SHANNON GROVE 3-8 CONS,
STR007229,310,BOB MARLEY WAY ,
STR007230,1470,BOB MARLEY WAY 14 FLATS 1-6,BD000663
STR007232,270,COLDHARBOUR LANE ,
STR007235,794,EFFRA ROAD ,
STR007239,326,KELLETT ROAD ,
STR007240,347,KELLETT ROAD ,
STR007242,232,ANTIGUA WALK ,
STR007243,318,KELLETT ROAD ,
STR007246,470,KELLETT ROAD ,BD003410
STR007248,430,CENTRAL HILL (12-14),BD001464
STR007250,152,HAMILTON ROAD ,
STR007251,245,ROSENDALE ROAD ,
STR007252,322,MARCUS GARVEY WAY ,
STR007253,250,ST GOTHARD ROAD ,
STR007254,274,MONTSERRAT CLOSE ,BD001633
STR007255,236,ST KITTS TERRACE ,BD001652
STR007256,294,MERVAN ROAD ,
STR007257,274,KENNINGTON LANE ,
STR007263,302,BROOK DRIVE ,
STR007264,595,BROOK DRIVE ,BD003043
STR007266,306,BROOK DRIVE ,
STR007267,388,HERCULES ROAD ,
STR007268,413,HERCULES ROAD ,
STR007269,355,EVANDALE ROAD ,
STR007271,397,AKERMAN ROAD ,
STR007274,290,SOUTH OAK ROAD ,
STR007275,388,CLAPHAM ROAD ,
STR007276,580,BERWYN ROAD ,BD001363
STR007277,290,KNOLLYS ROAD ,
STR007278,245,HAINTHORPE ROAD ,
STR007280,240,PHIL BROWN PLACE,BD000172
STR007281,380,PHIL BROWN CLOSE,BD000173
STR007284,219,SAMUEL JOHNSON CLOSE ,
STR007285,215,SAMUEL JOHNSON CLOSE ,
STR007286,219,SAMUEL JOHNSON CLOSE ,
STR007287,219,SAMUEL JOHNSON CLOSE ,
STR007288,219,SAMUEL JOHNSON CLOSE ,
STR007289,298,NORFOLK HOUSE ROAD ,
STR007290,236,MOUNT NOD ROAD ,
STR007296,1373,MOUNTEARL GARDENS (182-192),
STR007301,1408,MOUNTEARL GARDENS (122-132),BD002139
STR007306,1408,MOUNTEARL GARDENS (93-103),
STR007308,1408,MOUNTEARL GARDENS (98-108),BD002137
STR007313,290,LUXOR STREET ,
STR007318,215,JAMES BOSWELL CLOSE,
STR007320,207,HILLSIDE ROAD ,
STR007327,236,HARBOROUGH ROAD ,BD001726
STR007330,227,DALYELL ROAD ,
STR007331,223,HAILSHAM AVENUE ,BD003274
STR007332,219,HAILSHAM AVENUE ,BD003276
STR007333,1353,HAILSHAM AVENUE (59-71),BD003274
STR007334,2154,HAILSHAM AVENUE (75-99),BD002004
STR007339,198,HAILSHAM AVENUE ,
STR007341,5608,HAILSHAM AVENUE (6-58),BD001985
STR007343,245,HAILSHAM AVENUE ,BD003275
STR007345,219,HAILSHAM AVENUE ,BD002020
STR007347,417,HAILSHAM AVENUE ,BD002025
STR007348,219,HAILSHAM AVENUE ,BD003271
STR007349,2836,HAILSHAM AVENUE (142-170),BD002021
STR007354,207,FRANCIS BARBER CLOSE ,BD001629
STR007355,207,FRANCIS BARBER CLOSE ,
STR007356,177,RAILTON ROAD,BD000951
STR007364,173,FAYGATE ROAD ,
STR007372,490,ESTREHAM ROAD,BD001340
STR007373,245,ESTREHAM ROAD ,
STR007374,247,ESTREHAM ROAD ,BD003319
STR007385,219,DOWNTON AVENUE ,
STR007388,144,DANBROOK ROAD ,BD002178
STR007389,132,DANBROOK ROAD ,
STR007392,367,BEDFORD ROAD ,
STR007393,219,DANBROOK ROAD ,
STR007394,132,DANBROOK ROAD ,
STR007395,430,DANBROOK ROAD ,
STR007396,219,CURTISFIELD ROAD ,
STR007398,219,CURTISFIELD ROAD ,BD001611
STR007399,219,CURTISFIELD ROAD ,
STR007400,219,CURTISFIELD ROAD ,
STR007406,455,CAMBERWELL NEW ROAD ,
STR007408,417,LILFORD ROAD ,
STR007410,274,CUBITT TERRACE CLAPHAM MANOR ESTATE,
STR007411,318,HASELRIGGE ROAD,
STR007412,219,HASELRIGGE ROAD BOWLANDS ROAD ,
STR007413,290,HASELRIGGE ROAD ,
STR007415,438,HASELRIGGE ROAD BOWLANDS ROAD (69-71),
STR007420,347,PAULET ROAD ,
STR007424,198,BARCOMBE AVENUE ,
STR007426,314,BARCOMBE AVENUE ,BD003252
STR007428,314,BARCOMBE AVENUE ,BD003252
STR007429,310,BARCOMBE AVENUE ,
STR007430,306,PAULET ROAD ,
STR007435,278,RUSSELL GROVE ,
STR007443,409,AMESBURY AVENUE,BD002086
STR007445,376,AMESBURY AVENUE ,
STR007446,245,HOLLAND GROVE ,
STR007449,652,MANDELA STREET (24-26),BD000719
STR007451,294,ALBERT CARR GARDENS ,BD001328
STR007453,1408,ADARE WALK (133-143),BD002145
STR007454,1408,ADARE WALK (145-159),BD002146
STR007455,245,ADARE WALK ,
STR007456,219,ADARE WALK ,
STR007457,2091,ADARE WALK (81-95),BD002143
STR007458,1872,ADARE WALK (65-79),
STR007459,245,ADARE WALK ,
STR007460,1185,ADARE WALK (49-63),BD002143
STR007461,223,ADARE WALK ,
STR007462,1408,ADARE WALK (37-47),BD002143
STR007464,1408,ADARE WALK (14-24),BD002148
STR007466,223,ADARE WALK ,
STR007467,962,ADARE WALK (25-35),BD002142
STR007469,223,ABERCAIRN ROAD ,
STR007471,562,CUBITT TERRACE 12 FLATS A-C,BD000225
STR007472,266,REGENT ROAD ,
STR007473,274,REGENT ROAD ,
STR007474,152,LITTLEBURY ROAD ,
STR007484,397,BRAILSFORD ROAD ,
STR007485,140,VALLEY ROAD ,
STR007487,250,VALLEY ROAD ,BD003338
STR007488,136,CHARLOTTE ROW ,
STR007489,211,WELL CLOSE ,
STR007490,211,WELL CLOSE ,
STR007491,215,WELL CLOSE ,
STR007492,774,SOMERLEYTON ROAD 1-5 ODDS,BD000533
STR007497,258,WELLFIELD ROAD ,
STR007499,258,TRADESCANT ROAD ,
STR007500,290,WELLFIELD ROAD ,BD001324
STR007503,330,WALTON CLOSE ,
STR007506,190,KNIGHTS HILL ,
STR007507,119,LADAS ROAD ,
STR007509,298,LADAS ROAD ,
STR007510,306,LADAS ROAD ,
STR007511,286,LAKEVIEW ROAD ,
STR007512,372,LAKEVIEW ROAD 9-11,BD001201
STR007515,346,PARKHALL ROAD 29-31,BD001300
STR007517,274,PRIORESS ROAD ,
STR007520,274,PRIORESS ROAD ,
STR007521,232,PRIORESS ROAD ,
STR007522,115,TIVOLI ROAD ,
STR007523,119,TIVOLI ROAD ,
STR007524,157,TIVOLI ROAD ,
STR007525,123,TIVOLI ROAD ,
STR007527,306,WOODVALE WALK ,
STR007529,226,MARGATE ROAD ,
STR007534,509,BERRIDGE ROAD (13-15),
STR007536,606,CHARLES BARRY CLOSE 1-3,BD003344
STR007537,245,RECTORY GROVE ,
STR007541,735,VASSALL ROAD ,
STR007544,306,DUNELM GROVE ,
STR007546,321,DO NOT USE-SOLON ROAD ,BD002467
STR007547,161,BROUGH CLOSE ,BD002933
STR007558,294,CLAPHAM MANOR STREET ,
STR007559,338,SANDMERE ROAD ,
STR007561,215,TASMAN ROAD ,
STR007562,286,WILLINGTON ROAD ,
STR007564,286,BROOK DRIVE ,
STR007566,326,BURTON ROAD ,
STR007567,380,BURTON ROAD ,
STR007570,215,GASKELL STREET ,
STR007574,236,HEATH ROAD ,
STR007575,278,BRAYBOURNE AVENUE,
STR007576,173,FURNEAUX AVENUE ,BD003323
STR007579,334,MAYTREE WALK ,BD001384
STR007580,334,MAYTREE WALK ,
STR007581,334,MAYTREE WALK ,BD001385
STR007582,334,MAYTREE WALK ,BD001386
STR007585,290,ENGLEWOOD ROAD,BD002507
STR007587,270,OAKLANDS PLACE ,
STR007588,286,PATIO CLOSE ,BD002276
STR007589,334,PATIO CLOSE ,
STR007590,347,PATIO CLOSE ,BD002280
STR007591,347,PATIO CLOSE ,BD003230
STR007592,278,OBORNE CLOSE ,
STR007593,1115,FOXLEY SQUARE (48-52),BD000652
STR007595,2784,LENNOX ROAD,BD000653
STR007596,934,CUBITT TERRACE (22-26),
STR007597,1539,CUBITT TERRACE 28-38,BD000034
STR007598,334,PHIL BROWN PLACE ,
STR007602,628,UPSTALL STREET ,BD000847
STR007604,,ABINGDON ROAD ,
STR007607,5715,WILLIAM BONNEY ESTATE 1-24,BD000058
STR007608,5026,WILLIAM BONNEY ESTATE 26-45 CONS,BD000059
STR007609,5848,WILLIAM BONNEY ESTATE 46-69,BD000060
STR007610,3906,WILLIAM BONNEY ESTATE (70-89),BD000061
STR007611,4156,WILLIAM BONNEY ESTATE (90-108),BD000061
STR007612,3502,WILLIAM BONNEY ESTATE 109-124,BD000062
STR007613,4025,WILLIAM BONNEY ESTATE (125-144),BD000063
STR007614,4293,WILLIAM BONNEY ESTATE (145-164),BD000063
STR007615,4388,WILLIAM BONNEY ESTATE 165-184,BD000064
STR007618,367,MINERVA CLOSE ,BD003212
STR007619,306,MINERVA CLOSE ,
STR007624,446,MINERVA CLOSE (38-40),BD003681
STR007625,306,MINERVA CLOSE ,
STR007627,306,CHRYSSELL ROAD ,
STR007637,310,CHRYSSELL ROAD ,
STR007638,380,ROTHERAY TERRACE ,
STR007639,310,LISTOWELL CLOSE ,BD003386
STR007640,326,WOODENBRIDGE TERRACE ,
STR007641,1000,DUNELM GROVE 18-26,BD003661
STR007645,347,SISULU PLACE ,
STR007646,367,SISULU PLACE ,
STR007647,306,SISULU PLACE ,
STR007653,302,MILKWOOD RD,BD003583
STR007665,2230,OAKEY LANE (ODD) (1-19),
STR007666,7228,OAKEY LANE 21-71 ODD,BD003232
STR007667,2230,HOLST COURT 1-10 CONS,BD003395
STR007670,7392,OAKEY LANE 2-48 EVEN,BD003235
STR007671,4173,MEAD ROW 1-16 CONS,BD003244
STR007672,6016,MEAD ROW 17-40 CONS,BD003236
STR007686,245,VENN STREET ,
STR007689,215,"FLATS 1,2,3 87 KIRKSTALL ROAD",
STR007690,490,COLMER ROAD ,
STR007706,480,EASTLAKE ROAD ,
STR007714,302,NORWOOD ROAD ,
STR007720,413,FINSEN ROAD ,
STR010946,15771,PENRYN HOUSE 1-66,BD002924
STR010952,148,ST LUKES AVENUE ,
STR010953,347,WANDSWORTH ROAD ,BD000245
STR010956,161,ST LOUIS ROAD ,
STR010958,165,BURTWELL COTTAGES ,
STR010959,355,CLIVE ROAD ,
STR010960,355,CLIVE ROAD ,BD001623
STR010961,355,CLIVE ROAD ,
STR010962,355,CLIVE ROAD ,
STR010963,355,CLIVE ROAD ,
STR010964,282,BRISTOW ROAD ,
STR011011,232,ELDER ROAD ,
STR011012,254,FINCH AVENUE ,
STR011014,232,GIPSY ROAD GARDENS ,
STR011015,455,BRIDGETOWN CLOSE ,
STR011016,455,BRIDGETOWN CLOSE ,
STR011017,318,BRIDGETOWN CLOSE ,
STR011018,455,BRIDGETOWN CLOSE ,
STR011020,245,NELLO JAMES GARDENS ,
STR011021,245,NELLO JAMES GARDENS ,
STR011023,322,NELLO JAMES GARDENS ,
STR011024,262,PENNINGTON CLOSE ,BD001562
STR011025,262,PENNINGTON CLOSE ,BD001563
STR011026,355,PENNINGTON CLOSE ,
STR011027,355,PENNINGTON CLOSE ,BD001564
STR011028,232,BERRIDGE ROAD ,
STR011030,232,BERRIDGE ROAD ,
STR011031,232,GIPSY ROAD GARDENS ,
STR011033,262,ST BERNARDS CLOSE ,
STR011034,262,ST BERNARDS CLOSE ,BD001547
STR011035,262,ST BERNARDS CLOSE ,BD001548
STR011036,342,ROMMANY ROAD ,
STR011040,342,ROMMANY ROAD ,
STR011041,342,ROMMANY ROAD ,
STR011042,342,ROMMANY ROAD ,
STR011043,342,ROMMANY ROAD ,
STR011047,334,HAMILTON ROAD ,
STR011048,342,NELLO JAMES GARDENS ,
STR011053,372,GIPSY ROAD GARDENS ,
STR011055,240,BRISTOW ROAD ,
STR011056,240,BRISTOW ROAD ,
STR011058,254,HAMILTON ROAD ,
STR011060,245,NELLO JAMES GARDENS ,BD001663
STR011061,245,NELLO JAMES GARDENS ,
STR011062,322,NELLO JAMES GARDENS ,
STR011065,355,CLIVE ROAD ,
STR011066,262,ROMMANY ROAD ,
STR011067,262,ROMMANY ROAD ,
STR011069,367,ROMMANY ROAD ,
STR011071,165,HAMILTON ROAD ,
STR011074,148,ROMMANY ROAD ,
STR011078,262,ROMMANY ROAD ,
STR011079,232,GIPSY ROAD GARDENS ,
STR011080,186,ROMMANY ROAD ,
STR011081,169,ROMMANY ROAD ,
STR011082,186,ROMMANY ROAD ,
STR011085,355,CLIVE ROAD ,
STR011086,140,CLIVE ROAD ,
STR011087,140,CLIVE ROAD ,
STR011088,140,CLIVE ROAD ,
STR011089,140,CLIVE ROAD ,
STR011091,290,JOSEPH POWELL CLOSE ,
STR011092,290,JOSEPH POWELL CLOSE ,BD002349
STR011093,290,JOSEPH POWELL CLOSE ,BD002350
STR011094,290,JOSEPH POWELL CLOSE ,BD003627
STR011096,422,JOSEPH POWELL CLOSE ,
STR011099,434,JOSEPH POWELL CLOSE ,BD002351
STR011108,245,ST ALPHONSUS ROAD ,
STR011110,245,ST ALPHONSUS ROAD ,
STR011111,245,ST ALPHONSUS ROAD ,
STR011112,245,ST ALPHONSUS ROAD ,
STR011114,290,MAGNOLIA PLACE ,
STR011119,422,JOSEPH POWELL CLOSE ,
STR011120,422,JOSEPH POWELL CLOSE ,BD002352
STR011123,232,GIPSY ROAD GARDENS ,
STR011124,855,LUNHAM ROAD ,BD001764
STR011125,169,CHARTERS CLOSE ,
STR011126,169,CHARTERS CLOSE ,
STR011127,169,CHARTERS CLOSE ,
STR011128,169,CHARTERS CLOSE ,
STR011130,310,BRISTOW ROAD ,
STR011131,310,BRISTOW ROAD ,
STR011132,860,ROMMANY ROAD (213 - 219),BD001573
STR011133,232,ELDER ROAD ,
STR011134,422,GIPSY ROAD ,BD001865
STR011135,417,CLIVE ROAD ,
STR011137,232,GIPSY ROAD GARDENS ,
STR011146,278,CHARLES BARRY CLOSE,BD003347
STR011147,278,CHARLES BARRY CLOSE,
STR011148,278,CHARLES BARRY CLOSE,
STR011149,278,CHARLES BARRY CLOSE,
STR011150,278,CHARLES BARRY CLOSE,
STR011151,278,CHARLES BARRY CLOSE,
STR011153,245,ST ALPHONSUS ROAD ,
STR011154,245,ST ALPHONSUS ROAD ,
STR011155,236,ST ALPHONSUS ROAD ,
STR011157,132,CHARLOTTE ROW ,
STR011159,314,BOBBIN CLOSE ,
STR011160,207,KINGS AVENUE ,
STR011161,270,CHARLOTTE ROW ,
STR011162,270,CHARLOTTE ROW ,
STR011165,326,CHARLOTTE ROW ,
STR011166,338,CHARLOTTE ROW ,
STR011167,347,PATIO CLOSE ,BD003228
STR011168,694,PATIO CLOSE (21-23),BD003229
STR011170,270,MAGNOLIA PLACE ,
STR011171,326,BOBBIN CLOSE ,BD000144
STR011173,270,BOBBIN CLOSE ,BD000145
STR011174,274,BOBBIN CLOSE ,
STR011175,302,BOBBIN CLOSE ,BD000146
STR011178,314,BOBBIN CLOSE ,BD000147
STR011180,240,MAGNOLIA PLACE ,
STR011181,240,MAGNOLIA PLACE ,
STR011182,240,MAGNOLIA PLACE ,
STR011183,207,KINGS AVENUE ,
STR011184,278,CHARLES BARRY CLOSE ,
STR011185,451,CHARLES BARRY CLOSE ,
STR011186,278,CHARLES BARRY CLOSE ,
STR011187,278,CHARLES BARRY CLOSE ,
STR011188,278,CHARLES BARRY CLOSE ,
STR011191,298,CHARLES BARRY CLOSE ,
STR011192,298,CHARLES BARRY CLOSE ,BD003351
STR011193,278,CHARLES BARRY CLOSE ,
STR011194,278,CHARLES BARRY CLOSE ,
STR011195,278,CHARLES BARRY CLOSE ,BD003349
STR011196,278,CHARLES BARRY CLOSE ,
STR011197,278,CHARLES BARRY CLOSE ,
STR011198,278,CHARLES BARRY CLOSE ,
STR011202,278,CHARLES BARRY CLOSE ,
STR011203,278,CHARLES BARRY CLOSE ,
STR011204,278,CHARLES BARRY CLOSE ,BD003345
STR011206,278,CHARLES BARRY CLOSE ,
STR011207,278,CHARLES BARRY CLOSE ,
STR011208,278,CHARLES BARRY CLOSE ,
STR011209,278,CHARLES BARRY CLOSE ,
STR011211,278,CHARLES BARRY CLOSE ,
STR011216,274,ST ALPHONSUS ROAD ,
STR011218,347,BERRY LANE ,
STR011219,182,LYNCOTT CRESCENT ,
STR011220,182,LYNCOTT CRESCENT ,
STR011221,182,LYNCOTT CRESCENT ,
STR011222,182,LYNCOTT CRESCENT ,BD000325
STR011223,355,CLIVE ROAD ,BD001569
STR011224,232,ELDER ROAD ,
STR011225,232,GIPSY ROAD GARDENS ,
STR011226,232,GIPSY ROAD GARDENS ,
STR011228,177,HAMILTON ROAD ,
STR011229,318,BRISTOW ROAD ,
STR011231,318,BRISTOW ROAD ,
STR011232,318,BRISTOW ROAD ,
STR011233,232,GIPSY ROAD GARDENS ,
STR011234,586,ALEXANDRA DRIVE 3 FLATS 1-3,BD003662
STR011235,262,BURTWELL LANE ,
STR011236,262,BURTWELL LANE ,
STR011237,148,CLIVE ROAD ,
STR011238,132,CLIVE ROAD ,
STR011239,161,CLIVE ROAD ,
STR011240,152,CLIVE ROAD ,
STR011241,219,CLIVE ROAD ,
STR011247,318,LANSCOMBE WALK ,
STR011248,318,LANSCOMBE WALK ,
STR011249,318,LANSCOMBE WALK ,
STR011250,318,LANSCOMBE WALK ,
STR011253,306,SOUTH LAMBETH ROAD ,
STR011260,169,CLIVE ROAD ,
STR011261,169,CLIVE ROAD ,
STR011273,157,GOLDBOROUGH ROAD ,
STR011276,157,GOLDSBOROUGH ROAD ,
STR011278,548,GUILDFORD ROAD ,
STR011282,548,GUILDFORD ROAD ,BD000249
STR011286,600,GUILDFORD ROAD ,
STR011296,194,SOUTH LAMBETH ROAD ,
STR011297,194,SOUTH LAMBETH ROAD ,BD003511
STR011298,194,SOUTH LAMBETH ROAD ,
STR011299,194,SOUTH LAMBETH ROAD ,
STR011300,194,SOUTH LAMBETH ROAD ,BD003038
STR011301,177,THORPARCH ROAD ,
STR011304,675,GUILDFORD ROAD 24 FLATS 1 2&3,BD000252
STR011307,666,GUILDFORD ROAD 26 FLATS 1 2&3,BD000253
STR011314,173,CRIMSWORTH ROAD ,
STR011316,182,CRIMSWORTH ROAD ,
STR011318,236,SOUTH LAMBETH ROAD ,
STR011319,236,SOUTH LAMBETH ROAD ,
STR011328,219,BRAILSFORD ROAD ,BD003606
STR011334,227,ARLINGFORD ROAD ,
STR011337,227,ARLINGFORD ROAD ,
STR011338,227,ARLINGFORD ROAD ,
STR011339,227,ARLINGFORD ROAD ,
STR011358,278,CHARLES BARRY CLOSE ,
STR011359,278,CHARLES BARRY CLOSE ,
STR011362,290,ENGLEWOOD ROAD ,
STR011363,290,ENGLEWOOD ROAD ,
STR011369,322,ENGLEWOOD ROAD ,
STR011370,258,ENGLEWOOD ROAD ,
STR011371,326,ENGLEWOOD ROAD ,
STR011375,190,ABBEVILLE ROAD ,
STR011376,202,ABBEVILLE ROAD ,
STR011377,270,MAGNOLIA PLACE ,
STR011378,270,MAGNOLIA PLACE ,
STR011379,270,MAGNOLIA PLACE ,
STR011385,387,TRADESCANT ROAD 43 FLAT 1 2&3,BD000237
STR011389,169,ARLINGFORD ROAD ,
STR011390,1680,TEIGNMOUTH CLOSE (73-83),BD002186
STR011401,223,HAZELBOURNE ROAD ,
STR011403,334,PATIO CLOSE ,BD003226
STR011404,334,PATIO CLOSE ,BD002279
STR011405,334,PATIO CLOSE ,BD003227
STR011412,274,OAKLANDS PLACE ,BD002396
STR011413,347,ST ALPHONSUS ROAD ,
STR011414,347,ST ALPHONSUS ROAD ,
STR011416,347,ST ALPHONSUS ROAD ,
STR011417,347,ST ALPHONSUS ROAD ,
STR011418,347,ST ALPHONSUS ROAD ,
STR011419,347,ST ALPHONSUS ROAD ,
STR011486,347,ST ALPHONSUS ROAD ,
STR011487,347,ST ALPHONSUS ROAD ,
STR011490,347,ST ALPHONSUS ROAD ,
